Column1,Column2,Column3,Column4,,
,d,Munții de pe orizontul sudic au nori în jurul lor. Există nori cumulus și lenticulari în partea albastră a cerului. Vântul la sol vine din toate direcțiile și e preponderent din sud-vest la locul de decolare.,X,X,d
CC172,,172. Un front oclus apare când,,d,d
,a,un front cald depășește un front rece la altitudine.,,0,d
,b,un front rece trece peste un front cald la altitudine.,,0,d
,c,un front cald depășește un front rece la nivelul solului.,,0,d
,d,un front rece trece peste un front cald la nivelul solului.,X,X,d
CC173,,173. Un front oclus are,,d,d
,a,caracteristicile unui front cald.,,0,d
,b,caracteristicile unui front rece.,,0,d
,c,"caracteristicile inofensive ale unui front cald și rece, pe măsură ce ambele se neutralizează reciproc.",,0,d
,d,"caracteristicile meteorologice ale unei front fie cald fie rece, în funcție de temperatura fluxului de aer rece.",X,X,d
CC174,,174. Ce reprezintă următoarea imagine?,,b,b
,a,Un front cald.,,0,b
,b,Un front rece.,X,X,b
,c,O ocluzie cu caracteristicile unei front cald.,,0,
,d,d) O ocluzie cu caracteristicile unui front rece.,,0,
CC175,,175. Ce reprezintă următoarea imagine?,,c,c
,a,Un front cald.,,0,c
,b,Un front rece.,,0,c
,c,O ocluzie cu caracteristicile unei front cald.,X,X,c
,d, O ocluzie cu caracteristicile unui front rece.,,0,
CC176,,176. Ce reprezintă următoarea imagine?,,a,a
,a,Un front cald.,X,X,a
,b,Un front rece.,,0,
,c,O ocluzie cu caracteristicile unei front cald.,,0,
,d,O ocluzie cu caracteristicile unui front rece.,,0,
CC177,,177. Ce reprezintă următoarea imagine?,,d,d
,a,Un front cald.,,0,d
,b,Un front rece.,,0,d
,c,O ocluzie cu caracteristicile unei front cald.,,0,d
,d,O ocluzie cu caracteristicile unui front rece.,X,X,d
CC178,,"178. Formarea de nori cumulonimbus și, prin urmare, formarea de furtuni înainte de sosirea unui front este cel mai probabil cu",,c,c
,a,fronturi reci în ianuarie.,,0,c
,b,fronturi calde în ianuarie.,,0,c
,c,fronturi reci în luna august.,X,X,c
,d,fronturi calde în luna august.,,0,
CC179,,179. O masă de aer cald și umed se află deasupra României. Prognoza prezice sosirea unei mase polare de aer rece din nord-vest în timpul zilei. La ce tip de vreme ne poatem aștepta pentru această zi?,,c,c
,a,Condiții foarte favorabile pentru zborurile termice și la distanță din cauza aerului rece încălzit rapid de sol.,,0,c
,b,"Aerul rece care va sosi va stabiliza atmosfera, făcând astfel zborurile termice imposibile pentru ceva timp.",,0,c
,c,Furtuni frontale care aduc grindină si vânturi puternice.,X,X,c
,d,Răcirea continuă a aerului umed și cald și începutul treptat al precipitațiilor.,,0,
CC180,,180. În ce perioadă a zilei sunt furtunile termice (locale) cele mai probabile?,,b,b
,a,Dimineața.,,0,b
,b,După-amiaza târziu.,X,X,b
,c,La scurt timp după amiază.,,0,
,d,Timpul zilei nu are nici o influență asupra furtunilor termice (locale).,,0,
CC181,,181. În ce moment al zilei sunt probabile furtunile frontale?,,d,d
,a,10 am,,0,d
,b,15 pm,,0,d
,c,20 pm,,0,d
,d,Timpul zilei nu are nici o influență asupra furtunilor frontale.,X,X,d
CC182,,"182. În general, ce condiții cauzează o inversiune la nivelul solului?",,b,b
,a,"Încălzirea aerului care coboară, cu rata adiabatului uscat, în fața și în centrul unei presiuni ridicate.",,0,b
,b,Radiația nocturnă a căldurii din sol atunci când există cer senin.,X,X,b
,c,Masele de aer continentale care se stratifică aproape de sol.,,0,
,d,Încălzirea straturilor de aer adiacente solui pe parcursul zilei.,,0,
CC183,,183. Ce cauzează dispariția unei inversiuni de la nivelul solului?,,b,b
,a,Încălzirea aerului cald care coboară în fața și în centrul unei presiuni ridicate.,,0,b
,b,Radiația nocturnă a căldurii de pe pământ atunci când există cer senin.,X,X,b
,c,Aerul cald intrat în straturile superioare de aer.,,0,
,d,Încălzirea straturilor de aer aproape de sol pe parcursul zilei.,,0,
CC184,,184. Care sunt cele mai bune condiții pentru crearea unor termici bune într-o anumită zonă?,,b,b
,a,"Unghi mare de incidență al razelor solare, reflexie puternică.",,0,b
,b,"Unghi mare de incidență a razelor solare, reflexie slabă.",X,X,b
,c,"Unghi scăzut de incidență a razelor solare, reflexie slabă.",,0,
,d,"Unghi scăzut de incidență a razelor solare, reflexie puternică.",,0,
CC185,,185. Care sunt cele mai bune condiții pentru crearea unor termici bune într-o anumită zonă?,,d,d
,a,Zonă umedă și expusă vântului.,,0,d
,b,Zonă uscată și expusă vântului.,,0,d
,c,Zonă umedă și protejată de vânt.,,0,d
,d,Zonă uscată și protejată de vânt.,X,X,d
CC186,,186. În care din următoarele luni sunt cele mai pronunțate termici înzonele deluroase?,,b,b
,a,ianuarie,,0,b
,b,mai,X,X,b
,c,august,,0,
,d,octombrie,,0,
CC187,,187. În care din următoarele luni ajung termicile din munți la cele mai mari altitudini?,,c,c
,a,ianuarie,,0,c
,b,mai,,0,c
,c,august,X,X,c
,d,octombrie,,0,
CC188,,"188. Termenul ""termică de sub vânt"" înseamnă",,b,b
,a,Curentul descendent de pe partea protejată de vânt a unei mase de aer cald în urcare.,,0,b
,b,Aerul cald care se ridică de pe partea protejată de vânt a unui munte.,X,X,b
,c,Aerul cald creat de turbulența rotorului pe partea protejată de vânt a unui munte.,,0,
,d,Curent termic ascendent format în partea de sub vânt a altui curent termic ascendent.,,0,
CC189,,189. Termicile de sub vânt sunt cel mai probabil întâlnite,,d,d
,a,pe pantele nordice în timp ce bate vântul din nord.,,0,d
,b,pe pantele nordice în timp ce bate vântul din sud.,,0,d
,c,pe pantele sudice în timp ce bate vântul din sud.,,0,d
,d,pe pantele sudice în timp ce bate vântul din nord.,X,X,d
CC190,,"190. Termenul ""termică albastră"" înseamnă",,a,a
,a,aerul cald în urcare în care umiditatea este atât de mică încât nu permite dezvoltarea norilor cumulus.,X,X,a
,b,aerul cald în urcare în care umiditatea este atât de ridicată încât formează nori care generează precipitații.,,0,
,c,"aerul cald în urcare de peste corpuri întinse de apă, pe timpul nopții.",,0,
,d,"aerul cald în urcare, care este ridicat de o masă continentală de aer rece.",,0,
CC191,,191. Ar trebui să ne așteptăm la termici albastre când,,b,b
,a,"termica nu provine de la sol, ci dintr-un strat de aer mai înalt.",,0,b
,b,diferența de temperatură - punct de rouă a masei de aer în urcare este atât de mare încât punctul de rouă nu este atins.,X,X,b
,c,solul se răcește atât de mult în timpul nopții încât este mai rece decât un corp de apă învecinat.,,0,
,d,stratificarea atmosferică este atât de stabilă încât curenții termici sunt suprimați.,,0,
CC192,,"192. Termenul ""ascendență de restituție"" se referă la",,b,b
,a,"masele de aer care coboară în timpul zilei deasupra suprafețelor reci, cum ar fi ghețarii și lacurile.",,0,b
,b,"masele de aer în urcare din mijlocul văii, după apariția vântului de munte (catabatic).",X,X,b
,c,masele de aer descendente din apropierea curenților termici.,,0,
,d,curentul descendent din cauza temperaturii.,,0,
CC193,,"193. Pe o hartă meteorologică, acest simbol definește",,b,b
,a,o izobară.,,0,b
,b,un front rece.,X,X,b
,c,un front cald.,,0,
,d,un front oclus.,,0,
CC194,,"194. Pe o hartă meteorologică, acest simbol definește",,c,c
,a,o izobară.,,0,c
,b,un front rece.,,0,c
,c,un front cald.,X,X,c
,d,un front oclus.,,0,
CC195,,"195. Pe o hartă meteorologică, acest simbol definește",,a,a
,a,o izobară.,X,X,a
,b,un front rece.,,0,
,c,un front cald.,,0,
,d,un front oclus.,,0,
CC196,,"196. Pe o hartă meteorologică, acest simbol definește",,d,d
,a,o izobară.,,0,d
,b,un front rece.,,0,d
,c,un front cald.,,0,d
,d,un front oclus.,X,X,d
CC197,,197. Unde este centrul ciclonului?,,d,d
,a,lângă Tunis,,0,d
,b,deasupra golfului Biscaya (Golf von Biskaya),,0,d
,c,lângă Stockholm,,0,d
,d,lângă Lulea,X,X,d
CC198,,198. Unde este centrul anticiclonului?,,b,b
,a,lângă Tunis,,0,b
,b,deasupra golfului Biscaya (Golf von Biskaya),X,X,b
,c,lângă Stockholm,,0,
,d,lângă Lulea,,0,
CC199,,199. Unde este gradientul presiunii cel mai plat?,,a,a
,a,lângă Tunis,X,X,a
,b,deasupra golfului Biscaya (Golf von Biskaya),,0,
,c,lângă Stockholm,,0,
,d,lângă Lulea,,0,
CC200,,200. Unde este gradientul presiunii cel mai abrupt?,,c,c
,a,lângă Tunis,,0,c
,b,deasupra golfului Biscaya (Golf von Biskaya),,0,c
,c,lângă Stockholm,X,X,c
,d,lângă Lulea,,0,
CC201,,201. Unde e cel mai puternic vânt?,,c,c
,a,În nordul Africii.,,0,c
,b,În Elveția.,,0,c
,c,În sudul Scandinaviei.,X,X,c
,d,În Islanda.,,0,
CC202,,202. Unde e cel mai slab vânt?,,a,a
,a,În nordul Africii.,X,X,a
,b,În Elveția.,,0,
,c,În sudul Scandinaviei.,,0,
,d,În Islanda.,,0,
CC203,,203. Care este direcția vântului în Alger?,,c,c
,a,100 °,,0,c
,b,190 °,,0,c
,c,280 °,X,X,c
,d,320 °,,0,
CC204,,204. Care este direcția vântului în Londra?,,d,d
,a,130 °,,0,d
,b,190 °,,0,d
,c,270 °,,0,d
,d,310 °,X,X,d
CC205,,205. Care este direcția vântului în Atena?,,a,a
,a,130 °,X,X,a
,b,190 °,,0,
,c,270 °,,0,
,d,310 °,,0,
CC206,,206. Care este direcția vântului în Zurich?,,b,b
,a,100 °,,0,b
,b,210 °,X,X,b
,c,280 °,,0,
,d,030 °,,0,
CC207,,207. Care este direcția vântului în Lisabona?,,d,d
,a,100 °,,0,d
,b,190 °,,0,d
,c,250 °,,0,d
,d,320 °,X,X,d
CC208,,208. Care dintre următoarele orașe se află într-un sector cald?,,b,b
,a,Lulea și Sankt-Petersburg,,0,b
,b,Zurich și Stockholm,X,X,b
,c,Lisabona și Atena,,0,
,d,Paris și Londra,,0,
CC209,,209. În care dintre următoarele orașe sunt condiții meteo de după front?,,d,d
,a,Lulea și Sankt-Petersburg,,0,d
,b,Zurich și Stockholm,,0,d
,c,Lisabona și Atena,,0,d
,d,Paris și Londra,X,X,d
CC210,,210. Care dintre următoarele orașe sunt sub influența anticiclonului?,,c,c
,a,Lulea și Sankt-Petersburg,,0,c
,b,Zurich și Stockholm,,0,c
,c,Lisabona și Atena,X,X,c
,d,Paris și Londra,,0,
CC211,,211. Care este distribuția de nori cea mai probabilă în Lulea?,,b,b
,a,3/8 - 5/8 cumulus,,0,b
,b,5/8 - 7/8 cirostratus,X,X,b
,c,8/8 nimbostratus,,0,
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",,0,
CC212,,212. Care este distribuția de nori cea mai probabilă în Paris?,,a,a
,a,3/8 - 5/8 cumulus,X,X,a
,b,5/8 - 7/8 cirostratus,,0,
,c,8/8 nimbostratus,,0,
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",,0,
CC213,,213. Care este distribuția de nori cea mai probabilă în nordvestul Elveției?,,d,d
,a,5/8 - 7/8 cirocumulus,,0,d
,b,5/8 - 7/8 cirostratus,,0,d
,c,8/8 nimbostratus,,0,d
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",X,X,d
CC214,,214. Care este distribuția de nori cea mai probabilă în St. Petersburg?,,c,c
,a,3/8 - 5/8 cumulus,,0,c
,b,5/8 - 7/8 cirostratus,,0,c
,c,8/8 nimbostratus,X,X,c
,d,"5/8 - 7/8 cumulonimbus, lenticulari izolați în est",,0,
